군구명,구분1,구분2,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
미추홀구,이용현황별,공장용지,0.131,0.499,0.364,0.117,0.157,0.297,0.35,0.117,0.18,0.217,0.309,0.173,0.171,0.224,0.417,0.197,0.32,0.316,0.175,0.18,0.138,0.14,0.384,0.334
연수구,용도지역별,주거지역,0.512,0.376,0.404,0.328,0.48,0.086,0.365,0.558,0.353,0.41,0.253,0.377,0.305,0.35,0.426,0.235,0.427,0.402,0.315,0.288,0.4,0.318,0.279,0.336
연수구,용도지역별,상업지역,0.022,0.716,0.016,0.922,0.025,1.448,0.418,0,0.012,0,0.461,0.238,0.058,0.086,0.004,0.234,0.006,0.253,0.334,0.175,0.269,0.256,0.259,0.394
연수구,용도지역별,공업지역,0,0,0.136,0,0.381,0,0,0,0.287,0,0,0,0,0,0,0.703,0,0,0,0,0.278,0.282,0.11,0.408
연수구,용도지역별,녹지지역,0.994,0.114,0.21,0.016,0.038,0.02,0.388,0.129,0.179,0.126,0.472,0.275,0.119,0.051,0.361,0.267,0.028,0.127,0.078,0.195,0.126,0.202,0.152,0.325
연수구,이용현황별,전,0.95,0.011,0,0,0.099,0.355,0.22,0.466,0.072,0.331,0.341,0.011,0.448,0.216,0.11,0.058,0.013,0.025,0.048,0.142,0.19,0.112,0.177,0.211
연수구,이용현황별,주거용(대),0.641,0.126,0.362,0.108,0.412,0.077,0.076,0.057,0.252,0.099,0.611,0.332,0.04,0.039,0.396,0.687,0.205,0.425,0.347,0.248,0.339,0.154,0.204,0.528
연수구,이용현황별,상업용(대),0.718,0.637,0.563,0.615,0.269,0.634,0.662,0.48,0.448,0.485,0.394,0.274,0.442,0.501,0.165,0.033,0.405,0.353,0.302,0.272,0.454,0.386,0.221,0.303
연수구,이용현황별,임야,0.313,0.322,0,0.08,0.024,0.331,0,0,0,0,0,0.863,0.208,0,0,0.713,0.076,0.115,0,0.099,0.012,0.175,0.133,0.5
연수구,이용현황별,공장용지,0.439,0.128,0.044,0.105,0.227,0,0.275,0.343,0.093,0,0.197,0.149,0,0.194,0.594,0.28,0,0.24,0.189,0.163,0.111,0.274,0.438,0.232
남동구,용도지역별,주거지역,0.372,0.413,0.452,0.403,0.498,0.481,0.493,0.351,0.375,0.444,0.563,0.448,0.457,0.468,0.466,0.251,0.362,0.446,0.242,0.412,0.403,0.304,0.258,0.29
남동구,용도지역별,상업지역,0.564,0.48,0.411,0.379,0.407,0.405,0.544,0.252,0.303,0.132,0.157,0.259,0.083,0.162,0.211,0.485,0.411,0.123,0.411,0.337,0.499,0.205,0.417,0.244
남동구,용도지역별,공업지역,0.422,0.308,0.441,0.346,0.052,0.28,0.502,0.483,0.134,0.045,0.075,0.073,0.032,0.084,0.063,0.244,0.137,0.146,0.361,0.555,0.604,0.468,0.552,0.483
남동구,용도지역별,녹지지역,0.294,0.249,0.219,0.32,0.357,0.278,0.375,0.237,0.191,0.173,0.205,0.334,0.296,0.213,0.313,0.364,0.35,0.258,0.431,0.323,0.309,0.185,0.196,0.232
남동구,이용현황별,전,0.229,0.261,0.183,0.35,0.33,0.279,0.415,0.29,0.199,0.244,0.269,0.364,0.298,0.123,0.342,0.306,0.419,0.34,0.465,0.347,0.087,0.165,0.055,0.264
남동구,이용현황별,답,0.549,0.741,0.652,0.239,0.148,0,0.74,0.085,0,0.253,0.401,0.342,0,0,0.118,0.327,0.475,0.392,0.615,0.298,0.312,1.029,0.112,0.1
남동구,이용현황별,주거용(대),0.24,0.416,0.542,0.365,0.5,0.472,0.331,0.414,0.608,0.652,0.558,0.424,0.592,0.537,0.555,0.166,0.379,0.602,0.125,0.405,0.466,0.132,0.253,0.348
남동구,이용현황별,상업용(대),0.705,0.396,0.291,0.518,0.397,0.507,0.788,0.15,0.121,0.104,0.438,0.31,0.166,0.22,0.233,0.533,0.308,0.162,0.417,0.293,0.264,0.636,0.361,0.239
남동구,이용현황별,임야,0.243,0.052,0.29,0.483,0.152,0.457,0.202,0.216,0.081,0.009,0.033,0.142,0.162,0.343,0.332,0.494,0.074,0.256,0.147,0.344,1.214,0.055,0.746,0.025
남동구,이용현황별,공장용지,0.322,0.327,0.474,0.303,0.064,0.194,0.522,0.492,0.133,0.043,0.079,0.097,0.15,0.079,0.082,0.292,0.14,0.148,0.376,0.614,0.644,0.479,0.584,0.519
부평구,용도지역별,주거지역,0.367,0.425,0.518,0.509,0.587,0.495,0.48,0.477,0.358,0.337,0.464,0.389,0.37,0.349,0.34,0.385,0.324,0.324,0.348,0.367,0.428,0.394,0.378,0.378
